File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
3,416667	1	-0,142650
3,433333	1	-0,139400
3,450000	1	-0,120700
3,466667	1	-0,134800
3,483333	1	-0,136300
3,500000	1	-0,130250
3,516667	1	-0,131500
3,533333	1	-0,129050
3,550000	1	-0,121250
3,566667	1	-0,116800
3,583333	1	-0,110250
3,600000	1	-0,114800
3,616667	1	-0,095100
3,633333	1	-0,085550
3,650000	1	-0,088350
3,666667	1	-0,076150
3,683333	1	-0,073250
3,700000	1	-0,068100
3,716667	1	-0,056100
3,733333	1	-0,055150
3,750000	1	-0,049400
3,766667	1	-0,046900
3,783333	1	-0,035850
3,800000	1	-0,030050
3,816667	1	-0,030000
3,833333	1	-0,014100
3,850000	1	-0,012750
3,866667	1	-0,005700
3,883333	1	0,001550
3,900000	1	-0,001100
3,916667	1	0,004700
3,933333	1	0,026650
3,950000	1	0,033550
3,966667	1	0,031500
3,983333	1	0,039350
4,000000	1	0,040000
4,016667	1	0,056250
4,033333	1	0,060650
4,050000	1	0,057750
4,066667	1	0,069500
4,083333	1	0,085000
4,100000	1	0,088800
4,116667	1	0,097050
4,133333	1	0,094750
4,150000	1	0,098400
4,166667	1	0,103050
4,183333	1	0,097850
4,200000	1	0,102400
4,216667	1	0,107700
4,233333	1	0,123200
4,250000	1	0,123600
4,266667	1	0,138500
4,283333	1	0,152550
4,300000	1	0,174450
4,316667	1	0,189450
4,333333	1	0,209800
4,350000	1	0,220700
4,366667	1	0,239800
4,383333	1	0,262950
4,400000	1	0,289200
4,416667	1	0,281950
4,433333	1	0,285300
4,450000	1	0,291800
4,466667	1	0,294500
4,483333	1	0,297000
4,500000	1	0,289500
4,516667	1	0,290600
4,533333	1	0,295700
4,550000	1	0,308300
4,566667	1	0,305550
4,583333	1	0,304600
4,600000	1	0,296350
4,616667	1	0,314850
4,633333	1	0,323450
4,650000	1	0,325100
4,666667	1	0,312500
4,683333	1	0,319800
4,700000	1	0,322950
4,716667	1	0,334550
4,733333	1	0,330000
4,750000	1	0,337450
4,766667	1	0,339250
4,783333	1	0,347750
4,800000	1	0,349900
4,816667	1	0,337750
4,833333	1	0,350550
4,850000	1	0,372200
4,866667	1	0,377250
4,883333	1	0,377700
4,900000	1	0,379200
4,916667	1	0,388050
4,933333	1	0,395550
4,950000	1	0,399550
4,966667	1	0,392100
4,983333	1	0,390600
5,000000	1	0,419400
5,016667	1	0,424750
5,033333	1	0,406700
5,050000	1	0,414200
5,066667	1	0,426400
5,083333	1	0,445850
5,100000	1	0,445650
5,116667	1	0,446650
5,133333	1	0,456650
5,150000	1	0,475050
5,166667	1	0,498750
5,183333	1	0,489200
5,200000	1	0,512150
5,216667	1	0,527000
5,233333	1	0,551950
