File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
14,883333	1	6,870950
14,900000	1	6,881750
14,916667	1	6,877350
14,933333	1	6,883800
14,950000	1	6,877050
14,966667	1	6,865200
14,983333	1	6,878000
15,000000	1	6,862800
15,016667	1	6,862700
15,033333	1	6,877250
15,050000	1	6,888100
15,066667	1	6,891800
15,083333	1	6,900700
15,100000	1	6,885000
15,116667	1	6,892500
15,133333	1	6,904900
15,150000	1	6,885700
15,166667	1	6,877800
15,183333	1	6,888350
15,200000	1	6,891450
15,216667	1	6,889900
15,233333	1	6,897400
15,250000	1	6,887600
15,266667	1	6,902500
15,283333	1	6,915550
15,300000	1	6,935550
15,316667	1	6,947600
15,333333	1	6,967200
15,350000	1	6,986400
15,366667	1	7,001550
15,383333	1	7,020500
15,400000	1	7,028900
15,416667	1	7,051900
15,433333	1	7,082650
15,450000	1	7,088000
15,466667	1	7,100450
15,483333	1	7,095000
15,500000	1	7,107050
15,516667	1	7,139150
15,533333	1	7,149250
15,550000	1	7,167150
15,566667	1	7,190100
15,583333	1	7,204250
15,600000	1	7,222700
15,616667	1	7,236450
15,633333	1	7,222300
15,650000	1	7,220200
15,666667	1	7,233200
15,683333	1	7,224050
15,700000	1	7,218700
15,716667	1	7,224200
15,733333	1	7,237700
15,750000	1	7,247850
15,766667	1	7,254350
15,783333	1	7,253850
15,800000	1	7,278750
15,816667	1	7,303700
15,833333	1	7,304500
15,850000	1	7,306900
15,866667	1	7,332500
15,883333	1	7,347800
15,900000	1	7,384850
15,916667	1	7,383850
15,933333	1	7,374150
15,950000	1	7,397850
15,966667	1	7,415900
15,983333	1	7,410200
16,000000	1	7,429650
16,016667	1	7,430550
16,033333	1	7,428150
16,050000	1	7,437400
16,066667	1	7,461800
16,083333	1	7,459950
16,100000	1	7,465250
16,116667	1	7,476250
16,133333	1	7,491200
16,150000	1	7,481600
16,166667	1	7,491800
16,183333	1	7,491900
16,200000	1	7,515000
16,216667	1	7,530300
16,233333	1	7,540850
16,250000	1	7,540700
16,266667	1	7,574650
16,283333	1	7,588250
16,300000	1	7,583900
16,316667	1	7,564250
16,333333	1	7,576150
16,350000	1	7,593800
16,366667	1	7,599300
16,383333	1	7,583600
16,400000	1	7,582550
16,416667	1	7,605700
16,433333	1	7,619300
16,450000	1	7,630500
16,466667	1	7,609450
16,483333	1	7,621950
16,500000	1	7,648500
16,516667	1	7,647450
16,533333	1	7,647100
16,550000	1	7,658700
16,566667	1	7,669200
16,583333	1	7,678400
16,600000	1	7,689250
16,616667	1	7,701400
16,633333	1	7,690200
16,650000	1	7,720700
16,666667	1	7,725000
16,683333	1	7,735650
16,700000	1	7,740550
16,716667	1	7,745050
16,733333	1	7,780950
16,750000	1	7,791250
16,766667	1	7,769050
16,783333	1	7,790900
16,800000	1	7,795000
16,816667	1	7,819350
16,833333	1	7,829750
16,850000	1	7,838350
16,866667	1	7,832950
16,883333	1	7,864300
16,900000	1	7,859200
16,916667	1	7,870450
16,933333	1	7,887350
16,950000	1	7,893900
16,966667	1	7,905400
16,983333	1	7,899500
17,000000	1	7,915750
17,016667	1	7,919900
17,033333	1	7,942300
17,050000	1	7,946600
17,066667	1	7,949700
17,083333	1	7,962750
17,100000	1	7,997400
17,116667	1	8,032950
17,133333	1	8,074650
17,150000	1	8,101500
17,166667	1	8,130700
17,183333	1	8,145000
17,200000	1	8,138000
17,216667	1	8,115350
17,233333	1	8,068850
17,250000	1	8,007350
17,266667	1	7,952800
17,283333	1	7,884000
17,300000	1	7,845950
17,316667	1	7,814700
17,333333	1	7,809600
17,350000	1	7,783500
17,366667	1	7,773650
17,383333	1	7,795400
17,400000	1	7,817200
17,416667	1	7,854000
17,433333	1	7,880600
17,450000	1	7,936900
17,466667	1	7,984700
17,483333	1	8,046500
17,500000	1	8,078250
17,516667	1	8,077050
17,533333	1	8,105100
17,550000	1	8,114750
17,566667	1	8,116600
17,583333	1	8,106550
17,600000	1	8,091900
17,616667	1	8,089850
17,633333	1	8,083500
17,650000	1	8,059150
17,666667	1	8,063250
17,683333	1	8,044500
17,700000	1	8,048650
17,716667	1	8,053050
17,733333	1	8,049150
17,750000	1	8,041200
17,766667	1	8,052850
17,783333	1	8,057100
17,800000	1	8,074600
17,816667	1	8,065000
17,833333	1	8,086800
17,850000	1	8,082300
17,866667	1	8,100500
17,883333	1	8,117750
17,900000	1	8,119750
17,916667	1	8,112900
17,933333	1	8,130600
17,950000	1	8,156950
17,966667	1	8,157250
17,983333	1	8,175450
18,000000	1	8,177850
18,016667	1	8,214850
18,033333	1	8,245000
18,050000	1	8,281450
18,066667	1	8,398950
18,083333	1	8,689050
18,100000	1	9,398700
18,116667	1	10,890250
18,133333	1	13,815950
18,150000	1	19,018050
18,166667	1	27,446450
18,183333	1	39,617651
18,200000	1	55,009251
18,216667	1	71,868451
18,233333	1	87,275801
18,250000	1	98,274101
18,266667	1	102,518002
18,283333	1	99,453901
18,300000	1	90,286001
18,316667	1	77,153451
18,333333	1	62,522201
18,350000	1	48,443351
18,366667	1	36,443451
18,383333	1	27,174900
18,400000	1	20,570800
18,416667	1	16,113800
18,433333	1	13,299400
18,450000	1	11,599050
18,466667	1	10,585100
18,483333	1	9,963600
18,500000	1	9,578500
18,516667	1	9,336050
18,533333	1	9,142850
18,550000	1	9,030550
18,566667	1	8,931750
18,583333	1	8,843500
18,600000	1	8,779650
18,616667	1	8,737000
18,633333	1	8,697350
18,650000	1	8,670150
18,666667	1	8,619050
18,683333	1	8,596600
18,700000	1	8,573050
18,716667	1	8,566000
18,733333	1	8,522250
18,750000	1	8,509050
18,766667	1	8,487600
18,783333	1	8,495800
18,800000	1	8,470800
18,816667	1	8,441450
18,833333	1	8,440350
18,850000	1	8,433300
18,866667	1	8,432100
18,883333	1	8,439150
18,900000	1	8,425550
18,916667	1	8,407550
18,933333	1	8,416500
18,950000	1	8,420050
18,966667	1	8,423900
18,983333	1	8,431000
19,000000	1	8,414750
19,016667	1	8,434400
19,033333	1	8,429700
19,050000	1	8,445100
19,066667	1	8,447950
19,083333	1	8,446850
19,100000	1	8,442250
19,116667	1	8,453350
19,133333	1	8,437800
19,150000	1	8,446200
19,166667	1	8,460500
19,183333	1	8,465050
19,200000	1	8,452300
19,216667	1	8,440150
19,233333	1	8,459500
19,250000	1	8,477550
19,266667	1	8,469950
19,283333	1	8,479050
19,300000	1	8,489100
19,316667	1	8,504800
19,333333	1	8,541300
19,350000	1	8,577300
19,366667	1	8,593750
19,383333	1	8,630100
19,400000	1	8,674200
19,416667	1	8,670200
19,433333	1	8,673850
19,450000	1	8,658100
19,466667	1	8,655300
19,483333	1	8,632750
19,500000	1	8,599750
19,516667	1	8,590250
19,533333	1	8,569250
19,550000	1	8,570250
19,566667	1	8,556650
19,583333	1	8,537900
19,600000	1	8,537200
19,616667	1	8,535150
19,633333	1	8,539900
19,650000	1	8,547800
19,666667	1	8,559250
19,683333	1	8,569750
19,700000	1	8,602150
19,716667	1	8,645650
19,733333	1	8,676300
19,750000	1	8,741200
19,766667	1	8,814150
19,783333	1	8,877350
19,800000	1	8,905950
19,816667	1	8,917500
19,833333	1	8,894650
19,850000	1	8,885650
19,866667	1	8,834550
19,883333	1	8,775850
19,900000	1	8,749200
19,916667	1	8,718350
19,933333	1	8,696150
19,950000	1	8,679100
19,966667	1	8,673250
19,983333	1	8,678100
20,000000	1	8,675800
20,016667	1	8,681350
20,033333	1	8,686050
20,050000	1	8,688750
20,066667	1	8,682600
20,083333	1	8,712900
20,100000	1	8,706700
20,116667	1	8,709850
20,133333	1	8,706200
20,150000	1	8,746800
20,166667	1	8,736300
20,183333	1	8,737450
20,200000	1	8,749650
20,216667	1	8,751650
20,233333	1	8,782200
20,250000	1	8,784000
20,266667	1	8,786000
20,283333	1	8,805550
20,300000	1	8,819350
20,316667	1	8,834300
20,333333	1	8,836100
20,350000	1	8,845200
20,366667	1	8,842450
20,383333	1	8,873800
20,400000	1	8,876650
20,416667	1	8,878900
20,433333	1	8,898450
20,450000	1	8,946600
20,466667	1	8,979700
20,483333	1	9,015650
20,500000	1	9,063300
20,516667	1	9,109200
20,533333	1	9,164950
20,550000	1	9,213950
20,566667	1	9,256300
20,583333	1	9,297900
20,600000	1	9,321650
20,616667	1	9,329200
20,633333	1	9,298100
20,650000	1	9,259750
20,666667	1	9,220250
20,683333	1	9,167700
20,700000	1	9,117300
20,716667	1	9,062550
20,733333	1	9,023400
20,750000	1	8,989950
20,766667	1	8,967950
20,783333	1	8,954450
20,800000	1	8,934200
20,816667	1	8,934050
20,833333	1	8,935850
20,850000	1	8,927600
20,866667	1	8,913650
20,883333	1	8,918200
20,900000	1	8,948750
20,916667	1	8,953400
20,933333	1	8,941500
20,950000	1	8,944950
20,966667	1	8,935700
20,983333	1	8,943750
21,000000	1	8,959550
21,016667	1	8,940400
21,033333	1	8,935100
21,050000	1	8,935500
21,066667	1	8,940650
21,083333	1	8,944650
21,100000	1	8,939600
21,116667	1	8,955050
21,133333	1	8,968300
21,150000	1	8,977100
21,166667	1	8,987150
21,183333	1	8,993600
21,200000	1	9,012700
21,216667	1	9,028950
21,233333	1	9,040900
21,250000	1	9,058200
21,266667	1	9,051350
21,283333	1	9,072050
21,300000	1	9,094200
21,316667	1	9,086950
21,333333	1	9,111550
21,350000	1	9,134200
21,366667	1	9,156750
21,383333	1	9,175500
21,400000	1	9,159350
21,416667	1	9,165100
21,433333	1	9,170700
21,450000	1	9,158850
21,466667	1	9,134000
21,483333	1	9,124450
21,500000	1	9,116150
21,516667	1	9,113450
21,533333	1	9,112800
21,550000	1	9,106250
21,566667	1	9,098300
21,583333	1	9,081650
21,600000	1	9,114100
21,616667	1	9,108750
21,633333	1	9,079450
21,650000	1	9,096700
21,666667	1	9,102650
21,683333	1	9,106900
21,700000	1	9,110200
21,716667	1	9,113650
21,733333	1	9,120600
21,750000	1	9,151800
21,766667	1	9,150750
21,783333	1	9,165700
21,800000	1	9,185200
21,816667	1	9,195300
21,833333	1	9,220650
21,850000	1	9,246650
21,866667	1	9,255800
21,883333	1	9,273550
21,900000	1	9,302450
21,916667	1	9,329500
21,933333	1	9,350000
21,950000	1	9,357150
21,966667	1	9,389200
21,983333	1	9,418500
22,000000	1	9,432450
22,016667	1	9,451250
22,033333	1	9,478300
22,050000	1	9,517700
22,066667	1	9,530250
22,083333	1	9,536700
22,100000	1	9,533550
22,116667	1	9,512500
22,133333	1	9,517300
22,150000	1	9,461300
22,166667	1	9,445550
22,183333	1	9,407550
22,200000	1	9,378200
22,216667	1	9,343950
22,233333	1	9,337000
22,250000	1	9,326200
22,266667	1	9,313500
22,283333	1	9,337250
22,300000	1	9,331600
22,316667	1	9,337050
22,333333	1	9,344950
22,350000	1	9,363700
22,366667	1	9,386950
22,383333	1	9,433900
22,400000	1	9,540100
22,416667	1	9,798000
22,433333	1	10,301800
22,450000	1	11,247300
22,466667	1	12,884450
22,483333	1	15,497250
22,500000	1	19,287600
22,516667	1	24,252850
22,533333	1	30,005000
22,550000	1	35,798901
22,566667	1	40,704201
22,583333	1	43,876151
22,600000	1	44,666951
22,616667	1	43,053151
22,633333	1	39,485751
22,650000	1	34,691301
22,666667	1	29,466100
22,683333	1	24,423850
22,700000	1	20,114800
22,716667	1	16,732400
22,733333	1	14,267400
22,750000	1	12,574550
22,766667	1	11,474050
22,783333	1	10,791850
22,800000	1	10,361800
22,816667	1	10,121650
22,833333	1	9,964950
22,850000	1	9,863450
22,866667	1	9,802200
22,883333	1	9,758200
22,900000	1	9,735500
22,916667	1	9,716300
22,933333	1	9,686700
22,950000	1	9,680050
22,966667	1	9,686450
22,983333	1	9,687150
23,000000	1	9,677900
23,016667	1	9,691050
23,033333	1	9,713250
23,050000	1	9,716300
23,066667	1	9,700100
23,083333	1	9,685600
23,100000	1	9,691050
23,116667	1	9,709800
23,133333	1	9,716000
23,150000	1	9,698050
23,166667	1	9,700300
23,183333	1	9,712650
23,200000	1	9,727450
23,216667	1	9,717850
23,233333	1	9,708950
23,250000	1	9,725750
23,266667	1	9,739250
23,283333	1	9,743750
23,300000	1	9,746400
23,316667	1	9,736750
23,333333	1	9,726850
23,350000	1	9,753150
23,366667	1	9,761900
23,383333	1	9,761500
23,400000	1	9,748100
23,416667	1	9,756300
23,433333	1	9,772750
23,450000	1	9,751550
23,466667	1	9,762850
23,483333	1	9,762950
23,500000	1	9,792500
23,516667	1	9,804600
23,533333	1	9,818350
23,550000	1	9,835250
23,566667	1	9,836300
23,583333	1	9,855500
23,600000	1	9,860150
23,616667	1	9,837800
23,633333	1	9,836450
23,650000	1	9,825000
23,666667	1	9,834250
23,683333	1	9,810100
23,700000	1	9,803200
23,716667	1	9,807100
23,733333	1	9,792700
23,750000	1	9,807600
23,766667	1	9,796000
23,783333	1	9,798200
23,800000	1	9,805750
23,816667	1	9,810150
23,833333	1	9,804750
23,850000	1	9,809100
23,866667	1	9,803300
23,883333	1	9,813400
23,900000	1	9,805750
23,916667	1	9,803000
23,933333	1	9,784150
23,950000	1	9,810000
23,966667	1	9,822500
23,983333	1	9,826300
24,000000	1	9,818100
24,016667	1	9,832350
24,033333	1	9,850650
24,050000	1	9,870950
24,066667	1	9,876200
24,083333	1	9,868450
24,100000	1	9,876250
24,116667	1	9,897100
24,133333	1	9,895000
24,150000	1	9,902050
24,166667	1	9,898600
24,183333	1	9,918800
24,200000	1	9,920300
24,216667	1	9,910200
24,233333	1	9,917400
24,250000	1	9,922850
24,266667	1	9,926400
24,283333	1	9,929850
24,300000	1	9,916850
24,316667	1	9,924550
24,333333	1	9,946650
24,350000	1	9,951900
24,366667	1	9,949050
24,383333	1	9,961400
24,400000	1	9,957900
24,416667	1	9,986650
24,433333	1	10,000650
24,450000	1	10,003950
24,466667	1	10,000700
24,483333	1	10,039900
24,500000	1	10,046450
24,516667	1	10,049000
24,533333	1	10,052850
24,550000	1	10,050600
24,566667	1	10,074550
24,583333	1	10,056950
24,600000	1	10,074800
24,616667	1	10,062650
24,633333	1	10,059900
24,650000	1	10,071550
24,666667	1	10,075850
24,683333	1	10,071600
24,700000	1	10,076950
24,716667	1	10,093650
24,733333	1	10,084700
24,750000	1	10,103450
24,766667	1	10,096350
24,783333	1	10,102300
24,800000	1	10,133550
24,816667	1	10,145550
24,833333	1	10,137350
24,850000	1	10,162350
24,866667	1	10,190500
24,883333	1	10,193250
24,900000	1	10,206900
24,916667	1	10,213750
24,933333	1	10,242000
24,950000	1	10,244200
24,966667	1	10,257650
24,983333	1	10,262600
25,000000	1	10,253050
25,016667	1	10,276100
25,033333	1	10,288300
25,050000	1	10,268500
25,066667	1	10,262600
25,083333	1	10,244850
25,100000	1	10,258400
25,116667	1	10,246200
25,133333	1	10,243300
25,150000	1	10,230300
25,166667	1	10,229900
25,183333	1	10,227100
25,200000	1	10,223700
25,216667	1	10,224100
25,233333	1	10,214000
25,250000	1	10,244150
25,266667	1	10,237600
25,283333	1	10,231500
25,300000	1	10,243050
25,316667	1	10,263700
25,333333	1	10,284050
25,350000	1	10,279800
25,366667	1	10,289250
25,383333	1	10,291500
25,400000	1	10,327250
25,416667	1	10,335550
25,433333	1	10,337650
25,450000	1	10,354100
25,466667	1	10,376200
25,483333	1	10,378700
25,500000	1	10,395150
25,516667	1	10,407200
25,533333	1	10,425600
25,550000	1	10,439850
25,566667	1	10,441700
25,583333	1	10,440800
25,600000	1	10,449850
25,616667	1	10,463350
25,633333	1	10,476950
25,650000	1	10,490900
25,666667	1	10,482650
25,683333	1	10,484000
25,700000	1	10,506100
25,716667	1	10,519350
25,733333	1	10,524450
25,750000	1	10,526350
25,766667	1	10,524250
25,783333	1	10,545850
25,800000	1	10,551550
25,816667	1	10,546700
25,833333	1	10,551900
25,850000	1	10,547550
25,866667	1	10,547000
25,883333	1	10,555150
25,900000	1	10,547000
25,916667	1	10,558300
25,933333	1	10,558200
25,950000	1	10,572950
25,966667	1	10,567650
25,983333	1	10,560450
26,000000	1	10,582550
26,016667	1	10,593500
26,033333	1	10,603650
26,050000	1	10,599000
26,066667	1	10,618300
26,083333	1	10,644000
26,100000	1	10,655250
26,116667	1	10,655000
26,133333	1	10,652700
26,150000	1	10,687050
26,166667	1	10,700250
26,183333	1	10,682700
26,200000	1	10,697550
26,216667	1	10,703800
26,233333	1	10,712050
26,250000	1	10,704350
26,266667	1	10,721850
26,283333	1	10,701850
26,300000	1	10,710850
26,316667	1	10,735500
26,333333	1	10,731300
26,350000	1	10,737200
26,366667	1	10,755200
26,383333	1	10,759450
26,400000	1	10,770500
26,416667	1	10,770750
26,433333	1	10,773550
26,450000	1	10,791950
26,466667	1	10,806800
26,483333	1	10,818650
26,500000	1	10,818100
26,516667	1	10,818200
26,533333	1	10,838150
26,550000	1	10,845450
26,566667	1	10,859400
26,583333	1	10,848600
26,600000	1	10,835800
26,616667	1	10,859900
26,633333	1	10,847350
26,650000	1	10,840350
26,666667	1	10,860900
26,683333	1	10,874800
26,700000	1	10,869450
26,716667	1	10,870000
26,733333	1	10,868000
26,750000	1	10,872400
26,766667	1	10,894600
26,783333	1	10,885700
26,800000	1	10,885700
26,816667	1	10,892450
26,833333	1	10,889050
26,850000	1	10,888900
26,866667	1	10,888400
26,883333	1	10,901600
26,900000	1	10,896550
26,916667	1	10,897300
26,933333	1	10,911800
26,950000	1	10,910600
26,966667	1	10,912450
26,983333	1	10,921000
27,000000	1	10,916850
27,016667	1	10,922100
27,033333	1	10,924450
27,050000	1	10,926000
27,066667	1	10,933750
27,083333	1	10,933750
27,100000	1	10,938950
27,116667	1	10,929400
27,133333	1	10,926600
27,150000	1	10,932600
27,166667	1	10,927200
27,183333	1	10,917100
27,200000	1	10,912300
27,216667	1	10,921750
27,233333	1	10,908600
27,250000	1	10,922400
27,266667	1	10,908550
27,283333	1	10,912800
27,300000	1	10,914850
27,316667	1	10,924550
27,333333	1	10,921900
27,350000	1	10,918850
27,366667	1	10,942500
27,383333	1	10,921400
27,400000	1	10,936250
27,416667	1	10,914150
27,433333	1	10,920150
27,450000	1	10,932450
27,466667	1	10,931250
27,483333	1	10,927200
27,500000	1	10,937700
27,516667	1	10,933850
27,533333	1	10,948150
27,550000	1	10,943400
27,566667	1	10,936900
27,583333	1	10,923750
27,600000	1	10,953450
27,616667	1	10,938950
27,633333	1	10,940450
27,650000	1	10,941600
27,666667	1	10,964750
27,683333	1	10,977450
27,700000	1	10,965050
27,716667	1	10,958000
27,733333	1	10,982000
27,750000	1	10,986700
27,766667	1	10,983350
27,783333	1	10,972450
27,800000	1	10,990550
27,816667	1	10,979700
27,833333	1	10,998050
27,850000	1	11,002250
27,866667	1	10,997300
27,883333	1	10,987300
27,900000	1	11,012400
27,916667	1	11,007050
27,933333	1	11,018200
27,950000	1	11,023250
27,966667	1	11,043600
27,983333	1	11,059850
28,000000	1	11,067550
28,016667	1	11,075950
28,033333	1	11,075500
28,050000	1	11,108950
28,066667	1	11,137050
28,083333	1	11,141250
28,100000	1	11,141100
28,116667	1	11,184150
28,133333	1	11,209100
28,150000	1	11,232350
28,166667	1	11,233600
28,183333	1	11,270500
28,200000	1	11,299850
28,216667	1	11,325800
28,233333	1	11,349350
28,250000	1	11,371700
28,266667	1	11,405100
28,283333	1	11,430550
28,300000	1	11,464350
28,316667	1	11,495500
28,333333	1	11,520250
28,350000	1	11,542750
28,366667	1	11,579950
28,383333	1	11,597450
28,400000	1	11,622950
28,416667	1	11,647500
28,433333	1	11,670100
28,450000	1	11,684950
28,466667	1	11,710250
28,483333	1	11,724900
28,500000	1	11,727600
28,516667	1	11,759550
28,533333	1	11,764450
28,550000	1	11,770400
28,566667	1	11,774350
28,583333	1	11,787850
28,600000	1	11,815300
28,616667	1	11,808250
28,633333	1	11,815500
28,650000	1	11,832250
28,666667	1	11,834850
28,683333	1	11,849550
28,700000	1	11,839750
28,716667	1	11,846450
28,733333	1	11,851550
28,750000	1	11,844050
28,766667	1	11,842600
28,783333	1	11,826100
28,800000	1	11,845950
28,816667	1	11,846800
28,833333	1	11,851000
28,850000	1	11,842650
28,866667	1	11,835800
28,883333	1	11,844950
28,900000	1	11,835950
28,916667	1	11,856350
28,933333	1	11,832800
28,950000	1	11,852950
28,966667	1	11,853000
28,983333	1	11,870250
29,000000	1	11,855850
29,016667	1	11,861000
29,033333	1	11,861850
29,050000	1	11,880000
29,066667	1	11,871150
29,083333	1	11,873600
29,100000	1	11,858350
29,116667	1	11,881350
29,133333	1	11,889850
29,150000	1	11,874800
29,166667	1	11,879400
29,183333	1	11,855950
29,200000	1	11,884850
29,216667	1	11,859250
29,233333	1	11,861650
29,250000	1	11,848100
29,266667	1	11,844250
29,283333	1	11,855200
29,300000	1	11,841500
29,316667	1	11,828100
29,333333	1	11,835450
29,350000	1	11,839000
29,366667	1	11,824250
29,383333	1	11,823000
29,400000	1	11,807450
29,416667	1	11,809800
29,433333	1	11,814500
29,450000	1	11,812300
29,466667	1	11,804200
29,483333	1	11,795100
29,500000	1	11,800450
29,516667	1	11,798450
29,533333	1	11,787150
29,550000	1	11,777750
29,566667	1	11,772850
29,583333	1	11,775600
29,600000	1	11,755050
29,616667	1	11,748350
29,633333	1	11,753150
29,650000	1	11,764250
29,666667	1	11,758250
29,683333	1	11,752350
29,700000	1	11,761600
29,716667	1	11,759300
29,733333	1	11,762050
29,750000	1	11,743750
29,766667	1	11,735500
29,783333	1	11,744800
29,800000	1	11,742400
29,816667	1	11,745800
29,833333	1	11,737500
29,850000	1	11,730800
29,866667	1	11,718400
29,883333	1	11,745950
29,900000	1	11,719550
29,916667	1	11,720750
29,933333	1	11,733050
29,950000	1	11,747850
29,966667	1	11,750100
29,983333	1	11,749900
30,000000	1	11,749750
30,016667	1	11,753450
30,033333	1	11,748550
30,050000	1	11,758800
30,066667	1	11,752200
30,083333	1	11,783650
30,100000	1	11,791600
30,116667	1	11,795900
30,133333	1	11,793400
30,150000	1	11,796000
30,166667	1	11,800200
30,183333	1	11,805900
30,200000	1	11,816300
30,216667	1	11,825400
30,233333	1	11,840700
30,250000	1	11,836550
30,266667	1	11,852700
30,283333	1	11,858850
30,300000	1	11,865800
30,316667	1	11,851800
30,333333	1	11,875200
30,350000	1	11,871350
30,366667	1	11,856200
30,383333	1	11,863800
30,400000	1	11,868250
30,416667	1	11,881200
30,433333	1	11,888850
30,450000	1	11,872450
30,466667	1	11,883550
30,483333	1	11,891800
30,500000	1	11,880300
30,516667	1	11,875350
30,533333	1	11,892500
30,550000	1	11,896400
30,566667	1	11,918550
30,583333	1	11,903900
30,600000	1	11,905850
30,616667	1	11,917950
30,633333	1	11,917000
30,650000	1	11,929900
30,666667	1	11,928650
30,683333	1	11,933900
30,700000	1	11,941900
30,716667	1	11,965150
30,733333	1	11,962300
30,750000	1	11,952250
30,766667	1	11,949450
30,783333	1	11,979800
30,800000	1	11,984500
30,816667	1	11,986650
30,833333	1	11,980900
30,850000	1	11,991600
30,866667	1	12,019900
30,883333	1	12,018000
30,900000	1	11,993400
30,916667	1	12,007250
30,933333	1	12,030850
30,950000	1	12,037050
30,966667	1	12,033650
30,983333	1	12,044050
31,000000	1	12,045550
31,016667	1	12,059950
31,033333	1	12,062150
31,050000	1	12,036150
31,066667	1	12,034450
31,083333	1	12,062800
31,100000	1	12,070200
31,116667	1	12,059600
31,133333	1	12,066150
31,150000	1	12,072350
31,166667	1	12,061350
31,183333	1	12,071850
31,200000	1	12,062050
31,216667	1	12,069000
31,233333	1	12,085600
31,250000	1	12,103150
31,266667	1	12,119650
31,283333	1	12,121700
31,300000	1	12,110650
31,316667	1	12,138950
31,333333	1	12,140050
31,350000	1	12,129250
31,366667	1	12,151900
31,383333	1	12,150950
31,400000	1	12,149950
31,416667	1	12,160450
31,433333	1	12,178550
31,450000	1	12,188800
31,466667	1	12,210200
31,483333	1	12,205600
31,500000	1	12,200700
31,516667	1	12,217950
31,533333	1	12,207700
31,550000	1	12,249900
31,566667	1	12,251000
31,583333	1	12,252350
31,600000	1	12,260050
31,616667	1	12,262500
31,633333	1	12,257650
31,650000	1	12,244500
31,666667	1	12,256900
31,683333	1	12,269500
31,700000	1	12,256150
31,716667	1	12,251800
31,733333	1	12,246000
31,750000	1	12,252600
31,766667	1	12,242150
31,783333	1	12,247500
31,800000	1	12,250750
31,816667	1	12,234250
31,833333	1	12,230650
31,850000	1	12,277050
31,866667	1	12,271050
31,883333	1	12,267150
31,900000	1	12,248800
31,916667	1	12,253150
31,933333	1	12,275950
31,950000	1	12,267200
31,966667	1	12,259250
31,983333	1	12,267600
32,000000	1	12,293250
32,016667	1	12,307350
32,033333	1	12,299500
32,050000	1	12,280500
32,066667	1	12,299300
32,083333	1	12,304050
32,100000	1	12,292750
32,116667	1	12,307750
32,133333	1	12,290650
32,150000	1	12,297250
32,166667	1	12,317000
32,183333	1	12,321900
32,200000	1	12,319150
32,216667	1	12,326800
32,233333	1	12,337150
32,250000	1	12,329000
32,266667	1	12,332600
32,283333	1	12,336150
32,300000	1	12,342500
32,316667	1	12,351450
32,333333	1	12,337200
32,350000	1	12,332850
32,366667	1	12,350750
32,383333	1	12,370650
32,400000	1	12,359900
32,416667	1	12,373200
32,433333	1	12,370000
32,450000	1	12,360950
32,466667	1	12,366250
32,483333	1	12,387600
32,500000	1	12,371750
32,516667	1	12,385250
32,533333	1	12,395650
32,550000	1	12,396400
32,566667	1	12,384600
32,583333	1	12,398500
32,600000	1	12,391700
32,616667	1	12,415300
32,633333	1	12,420050
32,650000	1	12,410800
32,666667	1	12,398000
32,683333	1	12,414950
32,700000	1	12,433400
32,716667	1	12,405150
32,733333	1	12,421450
32,750000	1	12,409250
32,766667	1	12,434100
32,783333	1	12,443050
32,800000	1	12,430350
32,816667	1	12,427700
32,833333	1	12,465550
32,850000	1	12,460350
32,866667	1	12,458350
32,883333	1	12,448800
32,900000	1	12,454000
32,916667	1	12,467750
32,933333	1	12,465750
32,950000	1	12,461250
32,966667	1	12,469750
32,983333	1	12,481400
33,000000	1	12,510650
33,016667	1	12,511250
33,033333	1	12,504550
33,050000	1	12,493100
33,066667	1	12,493600
33,083333	1	12,518100
33,100000	1	12,506550
33,116667	1	12,506550
33,133333	1	12,536250
33,150000	1	12,554800
33,166667	1	12,556250
33,183333	1	12,550800
33,200000	1	12,551250
33,216667	1	12,573350
33,233333	1	12,589050
33,250000	1	12,585900
33,266667	1	12,566250
33,283333	1	12,564500
33,300000	1	12,605000
33,316667	1	12,595800
33,333333	1	12,589550
33,350000	1	12,591000
33,366667	1	12,597550
33,383333	1	12,598250
33,400000	1	12,593450
33,416667	1	12,588600
33,433333	1	12,589800
33,450000	1	12,616450
33,466667	1	12,604500
33,483333	1	12,609700
33,500000	1	12,602750
33,516667	1	12,617000
33,533333	1	12,622450
